WKT,OBJECTID,COD_ESTACI,COD_PARAME,PromedioDe,valoracion,UTMX,UTMY,HUSO,DEMARCACIO,unidades
"POINT (422865.999985442 4302299.99995317)","2373","400202",PO4,0.21233333333,> LQ y < Valor frontera,"422866","4302300","30",CHGn,mg PO4/l
"POINT (454203.000028356 4280009.00000682)","2374","400203",PO4,1.06250000000,> Valor frontera,"454203","4280009","30",CHGn,mg PO4/l
"POINT (386933.999990705 4294623.99995466)","2375","400205",PO4,0.66500000000,> Valor frontera,"386934","4294624","30",CHGn,mg PO4/l
"POINT (351297.000006079 4296032.99998891)","2376","400213",PO4,0.08610000000,< LQ,"351297","4296033","30",CHGn,mg PO4/l
"POINT (338650.000036801 4288497.0000276)","2377","400214",PO4,0.32666666667,> LQ y < Valor frontera,"338650","4288497","30",CHGn,mg PO4/l
"POINT (319657.000046342 4256173.000032)","2378","400219",PO4,0.17500000000,< LQ,"319657","4256173","30",CHGn,mg PO4/l
"POINT (255709.000000643 4305107.0000154)","2379","400222",PO4,1.08650000000,> Valor frontera,"255709","4305107","30",CHGn,mg PO4/l
"POINT (248860.000028566 4251715.99996699)","2380","400224",PO4,0.22850000000,> LQ y < Valor frontera,"248860","4251716","30",CHGn,mg PO4/l
"POINT (223438.999990481 4270223.99996099)","2381","400225",PO4,0.21012500000,> LQ y < Valor frontera,"223439","4270224","30",CHGn,mg PO4/l
"POINT (229854.99996991 4285889.00004384)","2382","400227",PO4,0.13025000000,> LQ y < Valor frontera,"229855","4285889","30",CHGn,mg PO4/l
"POINT (215803.000008076 4280302.99998961)","2383","400228",PO4,1.32366666667,> Valor frontera,"215803","4280303","30",CHGn,mg PO4/l
"POINT (208573.999984672 4285093.9999768)","2384","400229",PO4,4.88000000000,> Valor frontera,"208574","4285094","30",CHGn,mg PO4/l
"POINT (200351.99996068 4305641.99995758)","2385","400230",PO4,0.43306250000,> Valor frontera,"200352","4305642","30",CHGn,mg PO4/l
"POINT (161561.000016977 4303187.0000365)","2386","400235",PO4,0.10000000000,< LQ,"161561","4303187","30",CHGn,mg PO4/l
"POINT (155387.99997583 4278314.99995875)","2387","400236",PO4,0.85000000000,> Valor frontera,"155388","4278315","30",CHGn,mg PO4/l
"POINT (144500.999966247 4296778.00000143)","2388","400237",PO4,0.54250000000,> Valor frontera,"144501","4296778","30",CHGn,mg PO4/l
"POINT (163458.999973355 4263879.99996013)","2389","400238",PO4,0.39333333333,> LQ y < Valor frontera,"163459","4263880","30",CHGn,mg PO4/l
"POINT (147054.999965691 4243560.00002345)","2390","400239",PO4,0.55666666667,> Valor frontera,"147055","4243560","30",CHGn,mg PO4/l
"POINT (167734.999985552 4243512.00004676)","2391","400241",PO4,0.93500000000,> Valor frontera,"167735","4243512","30",CHGn,mg PO4/l
"POINT (157433.000046511 4208316.00004579)","2392","400246",PO4,0.27333333333,> LQ y < Valor frontera,"157433","4208316","30",CHGn,mg PO4/l
