"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"3.5","0.055220494072511436","0.2857142857142857","0.0","6","2","1","false","(816941.7308, 4739725.2683)","8.5","1","0","false","0","(816941.7308, 4739725.2683)","20784"
"3.5","0.012258822154088134","0.2857142857142857","0.0","6","2","1","false","(806892.1421, 4740249.851)","8.5","1","0","false","0","(806892.1421, 4740249.851)","4614"
"3.5","0.012067527139980126","0.2857142857142857","0.0","6","2","1","false","(806717.1405, 4740999.8293)","8.5","1","0","false","0","(806717.1405, 4740999.8293)","4542"
"3.5","0.011876232125872119","0.2857142857142857","0.0","6","2","1","false","(809367.0339, 4740362.413)","8.5","1","0","false","0","(809367.0339, 4740362.413)","4470"
"3.5","0.011668995860588446","0.2857142857142857","0.0","6","2","1","false","(810054.5002, 4740737.4278)","8.5","1","0","false","0","(810054.5002, 4740737.4278)","4392"
"3.5","0.011509583348831773","0.2857142857142857","0.0","6","2","1","false","(808792.0222, 4742537.3318)","8.5","1","0","false","0","(808792.0222, 4742537.3318)","4332"
"3.5","0.011334229585899433","0.2857142857142857","0.0","6","2","1","false","(809067.0055, 4742849.8337)","8.5","1","0","false","0","(809067.0055, 4742849.8337)","4266"
"3.5","0.011126993320615758","0.2857142857142857","0.0","6","2","1","false","(811641.8845, 4743937.4214)","8.5","1","0","false","0","(811641.8845, 4743937.4214)","4188"
"3.5","0.010919757055332083","0.2857142857142857","0.0","6","2","1","false","(812279.3548, 4744162.444)","8.5","1","0","false","0","(812279.3548, 4744162.444)","4110"
"3.5","0.010202400752427055","0.2857142857142857","0.0","6","2","1","false","(816416.6854, 4743250.1382)","8.5","1","0","false","0","(816416.6854, 4743250.1382)","3840"
"3.5","0.016626724976220968","0.2857142857142857","0.0","6","2","1","false","(810016.9837, 4741774.8988)","8.5","1","0","false","0","(810016.9837, 4741774.8988)","6258"
"4.0","9.29906318580591E-4","0.25","0.0","7","2","1","false","(809363.046, 4743362.3157)","1.5","1","0","false","0","(809363.046, 4743362.3157)","350"
"4.5","0.0","0.2222222222222222","0.0","8","1","0","false","(809854.4792, 4742424.8753)","2.0","1","0","false","0","(809854.4792, 4742424.8753)","0"
"4.0","0.06669288116859999","0.25","0.0","7","2","1","false","(815402.3273, 4743821.4396)","2.5","1","0","false","0","(815402.3273, 4743821.4396)","25102"
"4.5","0.07524270554914954","0.2222222222222222","0.0","8","3","2","false","(813554.3092, 4743125.0097)","2.0","1","0","false","0","(813554.3092, 4743125.0097)","28320"
"4.0","0.06367998469639888","0.25","0.0","7","2","1","false","(816745.6357, 4741044.7967)","2.5","1","0","false","0","(816745.6357, 4741044.7967)","23968"
"4.5","0.07188441530147563","0.2222222222222222","0.0","8","3","2","false","(815854.2257, 4742400.1372)","2.0","1","0","false","0","(815854.2257, 4742400.1372)","27056"
